big,grande
small,pequeño
good,buenos
bad,malo
happy,feliz
sad,triste
young,joven
old,viejo
new,nuevo
old,viejo
long,largo
short,corto
tall,alto
short,bajo
beautiful,hermoso
ugly,feo
fast,rápido
slow,despacio
hard,duro
soft,suave
easy,fácil
difficult,difícil
hot,caliente
cold,frío
strong,fuerte
weak, débil
rich,rico
poor,pobre
clean,limpio
dirty,sucio
high,alto
low,bajo
right,derecho
left,izquierdo
happy,feliz
angry,enojado
brave,valiente
gentle,suave
honest,honesto
polite,educado
friendly,amigable
fun,divertido
serious,serio
bright,brillante
dark,oscuro
early,temprano
late,tarde
heavy,pesado
light,lígero
modern,moderno
traditional,tradicional
quiet,tranquilo
noisy,ruidoso
safe,seguro
dangerous,peligroso
famous,famoso
unknown,desconocido
healthy,saludable
sick,enfermo
cheap,barato
expensive,costoso
warm,cálido
cool,frío
busy,ocupado
empty,vacío
beautiful,hermoso
ugly,feo
comfortable,cómodo
uncomfortable,incómodo
