other,otro
new,nuevo
good,bueno
high,alto
old,viejo
great,genial
big,grande
American,americano
small,pequeño
large,grande
national,nacional
young,joven
different,diferente
black,negro
long,largo
little,pequeño
important,importante
political,político
bad,malo
white,blanco
real,real
best,mejor
right,correcto
social,social
only,único
public,público
sure,seguro
low,bajo
early,temprano
able,capaz
human,humano
local,local
late,tarde
hard,difícil
major,mayor
better,mejor
economic,económico
strong,fuerte
possible,posible
whole,entero
free,libre
military,militar
true,verdadero
federal,federal
international,internacional
full,lleno
special,especial
easy,fácil
clear,claro
recent,reciente
certain,cierto
personal,personal
open,abierto
red,rojo
difficult,difícil
available,disponible
likely,probable
short,corto
single,soltero
medical,médico
current,actual
wrong,incorrecto
private,privado
past,pasado
foreign,extranjero
fine,fino
common,común
poor,pobre
natural,natural
significant,significativo
similar,similar
hot,caliente
dead,muerto
central,central
happy,feliz
serious,serio
ready,listo
simple,simple
left,izquierdo
physical,físico
general,general
environmental,ambiental
financial,financiero
blue,azul
democratic,democrático
dark,oscuro
various,varios
entire,entero
close,cercano
legal,legal
religious,religioso
cold,frío
final,final
main,principal
green,verde
nice,agradable
huge,enorme
popular,popular
traditional,tradicional
cultural,cultural
