be,いる
have,もつ
do,する
say,いう
go,いく
can,できる
get,える
would,〜だろう
make,つくる
know,しる
will,〜だろう
think,かんがえる
take,とる
see,みる
come,くる
could,できた
want,ほしい
look,みる
use,つかう
find,みつける
give,あたえる
tell,つたえる
work,はたらく
may,〜かもしれない
should,〜すべきだ
call,よぶ
try,ためす
ask,たずねる
need,ひつようとする
feel,かんじる
become,なる
leave,さる
put,おく
mean,いみする
keep,たもつ
let,させる
begin,はじめる
seem,みえる
help,たすける
talk,はなす
turn,まわす
start,はじめる
might,〜かもしれない
show,みせる
hear,きく
play,あそぶ
run,はしる
move,うごく
like,すき
live,すむ
believe,しんじる
hold,もつ
bring,もってくる
happen,おこる
must,〜しなければならない
write,かく
provide,ていきょうする
sit,すわる
stand,たつ
lose,うしなう
pay,はらう
meet,あう
include,ふくむ
continue,つづける
set,せっていする
learn,まなぶ
change,かえる
lead,みちびく
understand,りかいする
watch,みる
follow,したがう
stop,とめる
create,つくる
speak,はなす
read,よむ
allow,ゆるす
add,くわえる
spend,ついやす
grow,せいちょうする
open,あける
win,かつ
offer,ていきょうする
remember,おぼえる
love,あいする
consider,こうりょする
appear,あらわれる
buy,かう
wait,まつ
serve,つかえる
die,しぬ
send,おくる
expect,きたいする
build,たてる
stay,とまる
fall,おちる
cut,きる
reach,とどく
kill,ころす
remain,のこる
