time,tempo
year,anno
people,persone
way,strada
day,giorno
man,uomo
thing,cosa
woman,donna
life,vita
child,bambino
world,mondo
school,scuola
state,stato
family,famiglia
student,studente
group,gruppo
country,paese
problem,problema
hand,mano
part,parte
place,luogo
case,caso
week,settimana
company,azienda
system,sistema
program,programma
question,domanda
work,lavoro
government,governo
number,numero
night,notte
point,punto
home,casa
water,acqua
room,stanza
mother,madre
area,area
money,denaro
story,storia
fact,fatto
month,mese
lot,molto
right,diritto
study,studio
book,libro
eye,occhio
job,lavoro
word,parola
business,affari
issue,questione
side,lato
kind,tipo
head,testa
house,casa
service,servizio
friend,amico
father,padre
power,potere
hour,ora
game,gioco
line,linea
end,fine
member,membro
law,legge
car,auto
city,città
community,comunità
name,nome
president,presidente
team,squadra
minute,minuto
idea,idea
kid,bambino
body,corpo
information,informazioni
back,schiena
parent,genitore
face,faccia
others,altri
level,livello
office,ufficio
door,porta
health,salute
person,persona
art,arte
war,guerra
history,storia
party,festa
result,risultato
change,cambiamento
morning,mattina
reason,ragione
research,ricerca
girl,ragazza
guy,ragazzo
moment,momento
air,aria
teacher,insegnante
force,forza
education,istruzione
