be,ser/estar
have,ter
do,fazer
say,dizer
go,ir
can,poder
get,obter
would,gostaria
make,fazer
know,saber
will,será
think,pensar
take,tomar
see,ver
come,vir
could,poderia
want,querer
look,olhar
use,usar
find,encontrar
give,dar
tell,contar
work,trabalhar
may,poder
should,deveria
call,chamar
try,tentar
ask,perguntar
need,precisar
feel,sentir
become,tornar-se
leave,deixar
put,colocar
mean,significar
keep,manter
let,deixar
begin,começar
seem,parecer
help,ajudar
talk,falar
turn,virar
start,começar
might,poderia
show,mostrar
hear,ouvir
play,jogar
run,correr
move,mover
like,gostar
live,viver
believe,acreditar
hold,segurar
bring,trazer
happen,acontecer
must,dever
write,escrever
provide,fornecer
sit,sentar-se
stand,ficar de pé
lose,perder
pay,pagar
meet,conhecer
include,incluir
continue,continuar
set,definir
learn,aprender
change,mudar
lead,liderar
understand,entender
watch,assistir
follow,seguir
stop,parar
create,criar
speak,falar
read,ler
allow,permitir
add,adicionar
spend,gastar
grow,crescer
open,abrir
win,vencer
offer,oferecer
remember,lembrar
love,amar
consider,considerar
appear,aparecer
buy,comprar
wait,esperar
serve,servir
die,morrer
send,enviar
expect,esperar
build,construir
stay,ficar
fall,cair
cut,cortar
reach,alcançar
kill,matar
remain,permanecer
