other,ほかの
new,あたらしい
good,よい
high,たかい
old,ふるい
great,すばらしい
big,おおきい
American,アメリカの
small,ちいさい
large,おおきい
national,くにの
young,わかい
different,ちがう
black,くろい
long,ながい
little,ちいさい
important,じゅうような
political,せいじの
bad,わるい
white,しろい
real,ほんとうの
best,さいこうの
right,ただしい
social,しゃかいてきな
only,ゆいいつの
public,おおやけの
sure,たしかな
low,ひくい
early,はやい
able,できる
human,にんげんの
local,じもとの
late,おそい
hard,かたい
major,しゅような
better,よりよい
economic,けいざいてきな
strong,つよい
possible,かのうな
whole,ぜんたいの
free,じゆうな
military,ぐんの
true,しんじつの
federal,れんぽうの
international,こくさいてきな
full,みちた
special,とくべつな
easy,かんたんな
clear,めいかくな
recent,さいきんの
certain,たしかな
personal,こじんてきな
open,ひらいた
red,あかい
difficult,むずかしい
available,りようかのうな
likely,かのうせいがたかい
short,みじかい
single,ひとつの
medical,いりょうの
current,げんざいの
wrong,まちがった
private,してきな
past,かこの
foreign,がいこくの
fine,すばらしい
common,いっぱんてきな
poor,まずしい
natural,しぜんの
significant,じゅうような
similar,にている
hot,あつい
dead,しんだ
central,ちゅうおうの
happy,しあわせな
serious,しんけんな
ready,じゅんびができた
simple,かんたんな
left,ひだりの
physical,しんたいの
general,いっぱんてきな
environmental,かんきょうの
financial,ざいせいてきな
blue,あおい
democratic,みんしゅしゅぎの
dark,くらい
various,さまざまな
entire,ぜんたいの
close,ちかい
legal,ごうほうてきな
religious,しゅうきょうの
cold,さむい
final,さいしゅうてきな
main,しゅような
green,みどりの
nice,すてきな
huge,きょだいな
popular,にんきのある
traditional,でんとうてきな
cultural,ぶんかの
