other,autre
new,nouveau
good,bon
high,haut
old,vieux
great,grand
big,grand
American,américain
small,petit
large,grand
national,national
young,jeune
different,différent
black,noir
long,long
little,petit
important,important
political,politique
bad,mauvais
white,blanc
real,réel
best,meilleur
right,correct
social,social
only,seul
public,public
sure,sûr
low,bas
early,tôt
able,capable
human,humain
local,local
late,tard
hard,difficile
major,majeur
better,meilleur
economic,économique
strong,fort
possible,possible
whole,entier
free,libre
military,militaire
true,vrai
federal,fédéral
international,international
full,plein
special,spécial
easy,facile
clear,clair
recent,récent
certain,certain
personal,personnel
open,ouvert
red,rouge
difficult,difficile
available,disponible
likely,probable
short,court
single,célibataire
medical,médical
current,actuel
wrong,faux
private,privé
past,passé
foreign,étranger
fine,fin
common,commun
poor,pauvre
natural,naturel
significant,significatif
similar,similaire
hot,chaud
dead,mort
central,central
happy,heureux
serious,sérieux
ready,prêt
simple,simple
left,gauche
physical,physique
general,général
environmental,environnemental
financial,financier
blue,bleu
democratic,démocratique
dark,sombre
various,divers
entire,entier
close,proche
legal,légal
religious,religieux
cold,froid
final,final
main,principal
green,vert
nice,gentil
huge,énorme
popular,populaire
traditional,traditionnel
cultural,culturel
