be,essere
have,avere
do,fare
say,dire
go,andare
can,potere
get,ottenere
would,farebbe
make,fare
know,sapere
will,sarà
think,pensare
take,prendere
see,vedere
come,venire
could,potrebbe
want,volere
look,guardare
use,usare
find,trovare
give,dare
tell,dire
work,lavorare
may,potere
should,dovrebbe
call,chiamare
try,provare
ask,chiedere
need,avere bisogno
feel,sentire
become,diventare
leave,lasciare
put,mettere
mean,significare
keep,mantenere
let,lasciare
begin,iniziare
seem,sembrare
help,aiutare
talk,parlare
turn,girare
start,iniziare
might,potrebbe
show,mostrare
hear,sentire
play,giocare
run,correre
move,muovere
like,piacere
live,vivere
believe,credere
hold,tenere
bring,portare
happen,accadere
must,dovere
write,scrivere
provide,fornire
sit,sedersi
stand,stare in piedi
lose,perdere
pay,pagare
meet,incontrare
include,includere
continue,continuare
set,impostare
learn,imparare
change,cambiare
lead,guidare
understand,capire
watch,guardare
follow,seguire
stop,fermare
create,creare
speak,parlare
read,leggere
allow,permettere
add,aggiungere
spend,spendere
grow,crescere
open,aprire
win,vincere
offer,offrire
remember,ricordare
love,amare
consider,considerare
appear,apparire
buy,comprare
wait,aspettare
serve,servire
die,morire
send,inviare
expect,aspettarsi
build,costruire
stay,restare
fall,cadere
cut,tagliare
reach,raggiungere
kill,uccidere
remain,rimanere
