other,altro
new,nuovo
good,buono
high,alto
old,vecchio
great,grande
big,grande
American,americano
small,piccolo
large,grande
national,nazionale
young,giovane
different,diverso
black,nero
long,lungo
little,piccolo
important,importante
political,politico
bad,cattivo
white,bianco
real,reale
best,migliore
right,giusto
social,sociale
only,unico
public,pubblico
sure,sicuro
low,basso
early,presto
able,capace
human,umano
local,locale
late,tardi
hard,duro
major,maggiore
better,migliore
economic,economico
strong,forte
possible,possibile
whole,intero
free,libero
military,militare
true,vero
federal,federale
international,internazionale
full,pieno
special,speciale
easy,facile
clear,chiaro
recent,recente
certain,certo
personal,personale
open,aperto
red,rosso
difficult,difficile
available,disponibile
likely,probabile
short,corto
single,single
medical,medico
current,attuale
wrong,sbagliato
private,privato
past,passato
foreign,straniero
fine,bello
common,comune
poor,povero
natural,naturale
significant,significativo
similar,simile
hot,caldo
dead,morto
central,centrale
happy,felice
serious,serio
ready,pronto
simple,semplice
left,sinistra
physical,fisico
general,generale
environmental,ambientale
financial,finanziario
blue,blu
democratic,democratico
dark,scuro
various,vari
entire,intero
close,vicino
legal,legale
religious,religioso
cold,freddo
final,finale
main,principale
green,verde
nice,simpatico
huge,enorme
popular,popolare
traditional,tradizionale
cultural,culturale
