up,うえ
so,それで
out,そと
just,ただ
now,いま
how,どう
then,それから
more,もっと
also,また
here,ここ
well,よく
only,ただ
very,とても
even,さえ
back,うしろ
there,そこ
down,した
still,まだ
in,なか
as,ように
to,へ
when,いつ
never,けっして
really,ほんとうに
most,もっとも
on,うえに
why,なぜ
about,について
over,うえに
again,また
right,みぎ
off,きって
always,いつも
today,きょう
all,すべて
far,とおい
long,ながい
away,とおくに
yet,まだ
often,しばしば
ever,いつでも
however,しかし
almost,ほとんど
later,あとで
much,たくさん
once,いちど
least,さいてい
ago,まえに
together,いっしょに
around,まわりに
already,すでに
enough,じゅうぶん
both,りょうほう
maybe,たぶん
actually,じつは
probably,たぶん
home,いえ
of course,もちろん
perhaps,もしかしたら
little,すこし
else,ほか
sometimes,ときどき
finally,さいごに
less,すくなく
better,もっとよく
early,はやく
especially,とくに
either,どちらか
quite,かなり
simply,たんに
nearly,ほとんど
soon,すぐに
certainly,かならず
quickly,はやく
not,ではない
recently,さいきん
before,まえに
usually,たいてい
thus,したがって
exactly,ちょうど
hard,むずかしい
particularly,とくに
pretty,かなり
forward,まえに
ok,オーケー
clearly,はっきりと
indeed,たしかに
rather,むしろ
that,それ
tonight,こんばん
close,ちかく
suddenly,きゅうに
best,さいこう
instead,かわりに
ahead,さきに
fast,はやく
alone,ひとりで
eventually,さいしゅうてきに
directly,ちょくせつに
