you,あなた
that,それ
it,それ
your,あなたの
this,これ
I,わたし
they,かれら
some,いくつか
there,そこ
what,なに
which,どれ
their,かれらの
all,すべて
we,わたしたち
these,これら
who,だれ
them,かれら
its,それの
our,わたしたちの
my,わたしの
where,どこ
those,それら
he,かれ
us,わたしたち
his,かれの
another,もうひとつ
same,おなじ
her,かのじょの
something,なにか
me,わたし
she,かのじょ
lot,たくさん
certain,たしかな
yourself,あなたじしん
someone,だれか
everything,すべて
nothing,なにもない
itself,それじしん
everyone,みんな
themselves,かれらじしん
anyone,だれでも
anything,なにでも
him,かれ
self,じぶん
whatever,なんでも
whose,だれの
myself,わたしじしん
everybody,みんな
ourselves,わたしたちじしん
nobody,だれも
himself,かれじしん
none,なにもない
somebody,だれか
yours,あなたのもの
herself,かのじょじしん
mine,わたしのもの
whoever,だれでも
anybody,だれでも
nowhere,どこにもない
