be,être
have,avoir
do,faire
say,dire
go,aller
can,pouvoir
get,obtenir
would,ferait
make,faire
know,savoir
will,sera
think,penser
take,prendre
see,voir
come,venir
could,pourrait
want,vouloir
look,regarder
use,utiliser
find,trouver
give,donner
tell,dire
work,travailler
may,pouvoir
should,devrait
call,appeler
try,essayer
ask,demander
need,avoir besoin
feel,sentir
become,devenir
leave,laisser
put,mettre
mean,signifier
keep,garder
let,laisser
begin,commencer
seem,sembler
help,aider
talk,parler
turn,tourner
start,commencer
might,pourrait
show,montrer
hear,entendre
play,jouer
run,courir
move,bouger
like,aimer
live,vivre
believe,croire
hold,tenir
bring,apporter
happen,se passer
must,devoir
write,écrire
provide,fournir
sit,s'asseoir
stand,se tenir debout
lose,perdre
pay,payer
meet,rencontrer
include,inclure
continue,continuer
set,régler
learn,apprendre
change,changer
lead,mener
understand,comprendre
watch,regarder
follow,suivre
stop,arrêter
create,créer
speak,parler
read,lire
allow,permettre
add,ajouter
spend,dépenser
grow,grandir
open,ouvrir
win,gagner
offer,offrir
remember,se rappeler
love,aimer
consider,considérer
appear,apparaître
buy,acheter
wait,attendre
serve,servir
die,mourir
send,envoyer
expect,s'attendre à
build,construire
stay,rester
fall,tomber
cut,couper
reach,atteindre
kill,tuer
remain,rester
