time,tempo
year,ano
people,pessoas
way,caminho
day,dia
man,homem
thing,coisa
woman,mulher
life,vida
child,criança
world,mundo
school,escola
state,estado
family,família
student,estudante
group,grupo
country,país
problem,problema
hand,mão
part,parte
place,lugar
case,caso
week,semana
company,empresa
system,sistema
program,programa
question,pergunta
work,trabalho
government,governo
number,número
night,noite
point,ponto
home,casa
water,água
room,quarto
mother,mãe
area,área
money,dinheiro
story,história
fact,fato
month,mês
lot,muito
right,direito
study,estudo
book,livro
eye,olho
job,emprego
word,palavra
business,negócio
issue,questão
side,lado
kind,tipo
head,cabeça
house,casa
service,serviço
friend,amigo
father,pai
power,poder
hour,hora
game,jogo
line,linha
end,fim
member,membro
law,lei
car,carro
city,cidade
community,comunidade
name,nome
president,presidente
team,equipe
minute,minuto
idea,ideia
kid,criança
body,corpo
information,informação
back,costas
parent,pai
face,rosto
others,outros
level,nível
office,escritório
door,porta
health,saúde
person,pessoa
art,arte
war,guerra
history,história
party,festa
result,resultado
change,mudança
morning,manhã
reason,razão
research,pesquisa
girl,menina
guy,rapaz
moment,momento
air,ar
teacher,professor
force,força
education,educação
