other,outro
new,novo
good,bom
high,alto
old,velho
great,ótimo
big,grande
American,americano
small,pequeno
large,grande
national,nacional
young,jovem
different,diferente
black,preto
long,longo
little,pequeno
important,importante
political,político
bad,ruim
white,branco
real,real
best,melhor
right,correto
social,social
only,único
public,público
sure,certo
low,baixo
early,cedo
able,capaz
human,humano
local,local
late,tarde
hard,difícil
major,maior
better,melhor
economic,econômico
strong,forte
possible,possível
whole,inteiro
free,livre
military,militar
true,verdadeiro
federal,federal
international,internacional
full,cheio
special,especial
easy,fácil
clear,claro
recent,recente
certain,certo
personal,pessoal
open,aberto
red,vermelho
difficult,difícil
available,disponível
likely,provável
short,curto
single,solteiro
medical,médico
current,atual
wrong,errado
private,privado
past,passado
foreign,estrangeiro
fine,fino
common,comum
poor,pobre
natural,natural
significant,significativo
similar,similar
hot,quente
dead,morto
central,central
happy,feliz
serious,sério
ready,pronto
simple,simples
left,esquerdo
physical,físico
general,geral
environmental,ambiental
financial,financeiro
blue,azul
democratic,democrático
dark,escuro
various,vários
entire,inteiro
close,próximo
legal,legal
religious,religioso
cold,frio
final,final
main,principal
green,verde
nice,agradável
huge,enorme
popular,popular
traditional,tradicional
cultural,cultural
