time,tiempo
year,año
people,gente
way,camino
day,día
man,hombre
thing,cosa
woman,mujer
life,vida
child,niño
world,mundo
school,escuela
state,estado
family,familia
student,estudiante
group,grupo
country,país
problem,problema
hand,mano
part,parte
place,lugar
case,caso
week,semana
company,compañía
system,sistema
program,programa
question,pregunta
work,trabajo
government,gobierno
number,número
night,noche
point,punto
home,hogar
water,agua
room,habitación
mother,madre
area,área
money,dinero
story,cuento
fact,hecho
month,mes
lot,mucho
right,derecho
study,estudio
book,libro
eye,ojo
job,trabajo
word,palabra
business,negocio
issue,asunto
side,lado
kind,tipo
head,cabeza
house,casa
service,servicio
friend,amigo
father,padre
power,poder
hour,hora
game,juego
line,línea
end,fin
member,miembro
law,ley
car,coche
city,ciudad
community,comunidad
name,nombre
president,presidente
team,equipo
minute,minuto
idea,idea
kid,niño
body,cuerpo
information,información
back,espalda
parent,padre
face,rostro
others,otros
level,nivel
office,oficina
door,puerta
health,salud
person,persona
art,arte
war,guerra
history,historia
party,fiesta
result,resultado
change,cambio
morning,mañana
reason,razón
research,investigación
girl,niña
guy,chico
moment,momento
air,aire
teacher,maestro
force,fuerza
education,educación
foot,pie
boy,niño
age,edad
policy,política
